3916,sports
4085,Eddie Murphy
33660,boxing
1197,must show
1396,must show
2011,must show
2012,must show
2502,must show
2762,twist
2959,twist
3996,overrated
6016,violent
7438,violent
1136,Monty Python
2115,Harrison Ford
31878,piss your pants funny
31878,Stephen Chow
34405,Firefly
59615,adventure
59615,aliens
59615,archaeology
59615,indiana jones
59615,plot point:solving riddles/puzzles
79091,funny
79091,mad scientist
79091,minions
88140,action
88140,Bechdel Test:Fail
88140,campy
88140,comic book
88140,superhero
102445,based on a TV show
102445,PG-13
102445,space
102445,Star Trek
595,Disney
595,Disney animated feature
595,fairy tale
595,heartwarming
858,Al Pacino
858,based on a book
858,classic
858,Mafia
858,robert de niro
1213,crime
1213,dark comedy
1213,gore
1213,Martin Scorsese
1213,Robert De Niro
1213,Samuel L. Jackson
1241,zombie
1732,Coen Brothers
1732,marijuana
1921,mathematics
1921,notable soundtrack
2387,dark comedy
2387,dark humor
5265,Black Comedy
5265,Catherine Keener
5265,Danny DeVito
5265,Edward Norton
5265,Robin Williams
71535,dark comedy
71535,gore
71535,IMDB Top 250
71535,violence
71535,zombies
34405,movie mets projections: browncoats will fall in love
34405,non-sci-fi types will flame it. What else is new.
296,dark comedy
296,good dialogue
364,Elton John
2959,dark comedy
2959,Edward Norton
2959,social commentary
2232,sick
10,007 movies are bad.
32,bruce willis
32,ending
32,jeffrey
32,music
32,scenario
47,actually the ending was obvius
47,generally like the movie because of actors and crimes
47,the morgan freeman leaving non-sense
153,Actor's  and amateurism
153,Jim Carrey
296,conversations between vincent and jules
296,Jules
296,the part where bruce willis' story told.
296,vincent
393,everything is bad about this movie.
527,liam neeson
527,ralph fiennes' acting
527,too slow
541,atmosphere
541,ending line
541,slowness
541,soundtrack
541,the main character questionable
541,unneseccary scenes
555,christopher walken and dennis hopper scene
555,ending.
555,gary oldman's acting.
555,genrally i dont like it
608,acting
608,last scene
608,murders
1466,al pacino
1466,johnny depp
1466,not sure about ending it was so sudden
1466,reality on ending
1466,some unnecessary family scenes
1466,wise guys
1918,enough with the  same ' lethal weapon' movies over and over again.
3098,boring
5364,everything else
5364,Nudity (Topless)
5364,sex scenes
6870,i get angry sad and confused about ending but it was good.
8985,this movie shouldn't have been filmed.
51540,ending was good
51540,generally like the movie
51540,mark buffalo
51540,not too bad but rdjr ' s character was got little under my expectations.
68157,brad pitt's texas accent was just ridiculous
68157,the film is all about raging jew revenge.
68157,waltz's acting was ok.
96079,1 v 1 with some other spy
96079,boring
96079,classic hollywood bullshit about bad guy talks too much when his about to shoot someone instead of just shoot him.
